9790,1714037138101
9090,1715151751976
8220,1714310332798
7850,1715147455197
7690,1714310208828
6870,1714036897631
6420,1714310130030
6120,1714133231550
5810,1714036445612
5590,1715158269446
5530,1714036834530
5310,1714036071232
5230,1715147271389
4870,1715157518489
4520,1715158881284
4380,1714035310773
4270,1715172362318
4040,1715173124783
3870,1715131017964
3790,1715329582571
3740,1715158644864
3650,1714035693521
3630,1714034227078
3330,1715173491633
2910,1715145272592
2910,1715152526561
2430,1715173286542
2410,1715173200827
2310,1714133176378
2240,1715130920043
2160,1714310239738
2110,1714133144127
1810,1714046080376
1650,1715145102880
1610,1715131914738
1500,1715156679925
1460,1715185598019
1030,1715173172628
930,1715187083062
660,1714035980765
410,1715185546606
170,1715186643203
130,1715173556232
60,1715172462123
60,1715185797101
40,1715186749877
20,1715173743678
10,1715173653367
10,1715186066522
10,1715186691100
10,1715186732662
10,1715188854451
0,1715185844371
0,1715185861586
0,1715185864012
0,1715185867245
0,1715186069462
0,1715186512472
0,1715186515007
0,1715186650768
0,1715188534711
